File Name,Pos.Z,Depth (cm),Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,Unnamed: 39
wb497_10_8_rec_voi_0134.bmp,2.66428,8.266428,149.0,65.19799,26.36853,40.44378,30.23853,242.10522,9.18160,0.17697,0.47468,0.51841,121.0,28.0,6.00315,-3.05991,18.54446,32.82631,38.82946,50.34865,59.55622,,,,,,,,,,,,123.18606,0.19279,0.21783,0.32077,1.85669,1.60402,10.53670,
wb497_10_8_rec_voi_0135.bmp,2.68416,8.268416,162.0,65.19799,26.20018,40.18556,30.23853,240.95801,9.19681,0.16173,0.45378,1.30138,134.0,28.0,5.98230,-7.70096,18.58869,33.01552,38.99782,50.63885,59.81444,,,,,,,,,,,,143.47879,0.15761,0.21747,0.32369,1.84789,1.67662,10.16575,
wb497_10_8_rec_voi_0136.bmp,2.70405,8.270405,147.0,65.19799,26.08963,40.01601,30.23853,243.05841,9.31628,0.17748,0.47537,0.91737,121.0,26.0,5.98882,-5.45597,18.66930,33.11954,39.10836,50.79840,59.98399,,,,,,,,,,,,163.35226,0.16541,0.21468,0.32180,1.86400,1.67902,10.06151,
wb497_10_8_rec_voi_0137.bmp,2.72393,8.272393,163.0,65.19799,25.88085,39.69578,30.23853,241.19192,9.31932,0.15878,0.44963,1.39358,137.0,26.0,5.97286,-8.27731,18.75091,33.34428,39.31714,51.14310,60.30422,,,,,,,,,,,,179.92152,0.19921,0.21461,0.32602,1.84969,1.62285,9.81668,
wb497_10_8_rec_voi_0138.bmp,2.74381,8.274381,150.0,65.19799,25.84562,39.64174,30.23853,237.02207,9.17069,0.17230,0.46838,1.07385,125.0,25.0,5.83376,-6.20069,18.41500,33.51861,39.35237,51.41050,60.35826,,,,,,,,,,,,5.83285,0.24374,0.21809,0.33206,1.81771,1.66055,9.43026,
wb497_10_8_rec_voi_0139.bmp,2.76369,8.276369,163.0,65.19799,25.95132,39.80386,30.23853,236.26287,9.10408,0.15921,0.45024,1.19899,138.0,25.0,5.82729,-6.96223,18.33713,33.41939,39.24667,51.25831,60.19614,,,,,,,,,,,,5.48796,0.26772,0.21968,0.33223,1.81189,1.66917,9.07196,
wb497_10_8_rec_voi_0140.bmp,2.78358,8.278358,154.0,65.19799,25.99451,39.87011,30.23853,235.03814,9.04184,0.16880,0.46359,0.79786,125.0,29.0,5.82729,-4.62172,18.31225,33.37620,39.20348,51.19206,60.12989,,,,,,,,,,,,2.72261,0.2798,0.22119,0.33359,1.80250,1.58983,9.39732,
wb497_10_8_rec_voi_0141.bmp,2.80346,8.280346,169.0,65.19799,25.93976,39.78613,30.23853,231.58985,8.92799,0.15349,0.44207,0.41198,128.0,41.0,6.12254,-2.48059,19.09576,33.13570,39.25824,50.82318,60.21387,,,,,,,,,,,,2.72014,0.29281,0.22401,0.33903,1.77605,1.66509,9.43850,
wb497_10_8_rec_voi_0142.bmp,2.82334,8.282334,157.0,65.19799,25.94282,39.79083,30.23853,226.83185,8.74353,0.16524,0.45868,-0.56262,127.0,30.0,6.70559,3.82130,20.53880,32.54958,39.25517,49.92421,60.20917,,,,,,,,,,,,3.99041,0.29862,0.22874,0.34612,1.73956,1.65434,9.76627,
wb497_10_8_rec_voi_0143.bmp,2.84322,8.284322,139.0,65.19799,26.15239,40.11226,30.23853,226.10512,8.64568,0.18815,0.48944,1.88820,114.0,25.0,5.91915,-11.12994,18.45608,33.12645,39.04560,50.80901,59.88774,,,,,,,,,,,,3.37802,0.28774,0.23133,0.34538,1.73399,1.65953,10.27781,
wb497_10_8_rec_voi_0144.bmp,2.86311,8.286311,138.0,65.19799,26.35302,40.41998,30.23853,225.20299,8.54562,0.19096,0.49310,0.85727,106.0,32.0,6.09956,-5.15417,18.79531,32.74541,38.84498,50.22457,59.58002,,,,,,,,,,,,2.96798,0.26831,0.23404,0.34498,1.72707,1.65936,10.51058,
