Description,Unit,10.0,12.0,14.0,15.5,17.0,19.0,21.0,22.5,23.5,25.5,27.5,29.5,30.0,32.0,34.0,36.0,37.0,39.0,41.0,43.0,45.0,47.0,4.0,49.0,51.0,53.0,55.0,57.0,58.5,60.5,61.0,61.25,62.0,64.0,66.0,68.0,6.0,70.0,71.0,73.0,75.0,77.0,77.5,78.0,79.0,81.0,83.0,85.0,87.0,8.0,89.0,91.0,93.0
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scan Depth,cm,11-9cm,13-11cm,15-13cm,16.5-14.5cm,18-16cm,20-18cm,22-20cm,23.5-21.5cm,24.5-22.5cm,26.5-24.5cm,28.5-26.5cm,30.5-28.5cm,31-29cm,33-31cm,35-33cm,37-35cm,38-36cm,40-38cm,42-40cm,44-42cm,46-44cm,48-46cm,5-3cm,50-48cm,52-50cm,54-52cm,56-54cm,58-56cm,59.5-57.5cm,61.5-59.5cm,62-60cm,62.5-60.5,63-61cm,65-63cm,67-65cm,69-67cm,7-5cm,71-69cm,72-70cm,74-72cm,76-74cm,78-76cm,78.5-76.5cm,79-77cm,80-78cm,82-80cm,84-82cm,86-84cm,88-86cm,9-7cm,90-88cm,92-90cm,94-92cm
Product of inertia (yz),mm^5,-470.21148,-759.62503,298.99265,-874.13132,-2073.83011,-958.49075,7.24523,-760.46433,2495.21862,-0.07922,-1011.47249,2350.52042,-249.77476,869.14015,-2893.00326,-296.49742,835.47041,439.54314,349.54534,-155.74301,64.12661,-843.88182,-545.01310,2958.22189,673.73240,-19.19718,1413.36768,-555.59804,-1194.34413,910.37311,-63.96233,546.75394,-75.22824,218.35010,-166.55008,-137.77608,-1047.58585,601.43510,-85.23660,149.15497,-45.07088,456.44859,-242.95661,18.59296,78.70737,-160.67794,12.74175,607.39214,807.40324,1227.15528,956.27080,1138.47655,556.15050
Total orientation (theta),°,2.46567,3.36053,3.70583,4.03298,6.37221,6.57319,0.91460,6.31794,9.28478,0.08790,7.89552,7.85590,0.68349,3.95219,17.04926,2.95069,11.61717,1.47678,0.90044,1.45373,2.19854,4.85795,3.03507,8.69282,9.53207,5.69372,6.89911,2.86052,6.80579,6.64665,9.37090,11.06364,1.05200,4.09035,0.57242,0.75261,3.52881,3.84400,1.09719,0.57130,0.51991,3.50273,10.07804,0.23897,2.45245,0.45035,0.72303,3.45739,4.48901,8.49404,2.62382,2.24953,3.33263
Total orientation (phi),°,217.06199,216.16525,165.70290,226.91838,283.22805,216.47902,1.77039,222.38765,119.15574,359.84944,312.00127,106.55279,273.64136,134.65329,235.20982,196.18368,22.93073,79.70112,113.71172,340.28187,8.28124,327.72971,240.87766,102.89477,10.64075,359.51511,62.62232,321.01084,271.95674,37.21882,181.77591,30.80235,193.00689,69.31543,250.65757,303.69801,289.91403,128.82253,193.27525,106.86874,200.23170,160.73694,353.07480,157.40984,168.57976,267.16019,5.75066,90.80172,29.88283,114.82987,75.83864,96.22056,34.90351
Structure model index,,1.23827,1.23953,1.12189,1.15691,1.21117,1.22126,1.22702,1.32857,1.40527,1.42436,1.23522,1.41821,1.40799,1.33465,1.19663,1.19320,1.22116,1.39969,0.96343,1.05848,0.90908,0.98737,1.19727,1.10053,1.47589,1.67249,1.69854,1.61929,1.59261,1.55115,1.71747,1.58991,1.76863,1.89490,1.77854,1.91194,1.33077,1.91182,1.90680,1.91830,1.99296,1.89600,2.11619,1.92987,2.05918,1.89360,1.89751,2.07791,1.39948,1.20604,1.13481,1.24320,1.29167
Structure thickness,mm,0.44646,0.44363,0.42964,0.44464,0.44755,0.44134,0.44211,0.43243,0.39401,0.39011,0.37395,0.40381,0.39856,0.40163,0.40480,0.39991,0.41223,0.41487,0.42257,0.42875,0.42742,0.43115,0.24287,0.41809,0.36434,0.35361,0.35004,0.34747,0.34955,0.34690,0.33062,0.35405,0.31233,0.27689,0.30586,0.28414,0.31716,0.27627,0.25684,0.24484,0.25593,0.24539,0.24963,0.24838,0.25308,0.25612,0.25368,0.24452,0.22537,0.43975,0.21741,0.21469,0.21882
Structure linear density,1/mm,0.60904,0.54040,0.57961,0.45908,0.46210,0.49481,0.69213,0.49583,0.56127,0.93977,0.57618,0.56916,0.87294,0.54971,0.52325,0.62645,0.48366,0.70881,0.91102,0.56507,0.63916,0.48793,1.27043,0.60690,0.59616,0.59593,0.52089,0.48619,0.56328,0.46961,0.52328,0.49065,0.67514,0.74974,0.88414,0.80384,0.76682,0.83262,1.37507,1.05724,1.42937,0.95730,0.73921,1.01579,0.72929,0.92484,1.13306,0.81727,1.12694,0.52950,1.48299,1.49362,1.42555
Structure separation,mm,1.16256,1.45876,1.53092,1.77001,1.58811,1.53484,0.92082,1.32486,1.63516,0.56747,1.28480,1.32168,0.65474,1.30669,1.82855,1.32532,2.13445,0.99775,0.63920,1.32243,1.07013,1.58266,0.70879,1.44710,1.55501,1.38557,1.44813,1.60346,1.20362,1.53160,1.55642,1.40212,1.06329,0.99568,0.70355,0.87742,1.04832,1.01951,0.41282,1.03697,0.31131,1.04776,1.36348,0.83885,1.26442,0.88299,0.46431,0.86090,1.16975,1.54557,0.96580,0.87353,0.93269
Fractal dimension,,2.67889,2.65948,2.68987,2.61409,2.60850,2.61959,2.61252,2.60918,2.68413,2.72489,2.66336,2.67599,2.69954,2.64413,2.66548,2.67395,2.66345,2.71803,2.70660,2.65085,2.67931,2.61481,2.71881,2.70145,2.70654,2.68839,2.64198,2.62757,2.63936,2.60472,2.64537,2.61167,2.68968,2.73281,2.68749,2.74605,2.71578,2.74912,2.79345,2.81698,2.81405,2.77712,2.75577,2.78662,2.73591,2.76851,2.75669,2.74923,2.78241,2.65732,2.82204,2.82566,2.83178
Number of objects,,499,733,702,469,509,407,274,262,791,343,1867,393,323,349,450,567,571,1143,317,413,1552,406,1137,632,634,503,785,855,422,633,591,395,593,495,470,775,917,829,738,836,986,1384,956,772,1091,915,610,745,1299,499,1292,1284,1322
Number of closed pores,,547,563,607,587,652,528,415,354,452,532,1716,464,488,615,594,886,757,755,1180,1059,1540,1235,311,981,863,608,600,639,525,587,603,443,718,426,775,604,331,474,442,253,335,632,549,517,621,1139,1146,1010,1394,343,1661,1823,1525
Volume of closed pores,mm^3,0.32524,0.43982,0.57920,0.34824,0.46855,0.72597,0.34193,0.32238,0.35344,0.44687,0.38774,0.60684,0.59042,0.57128,0.46708,0.80246,0.48122,0.57620,0.89166,0.80882,0.64461,1.00904,0.05709,0.79243,0.73511,0.49382,0.49524,0.49700,0.42824,0.40346,0.33400,0.39653,0.36797,0.13688,0.40635,0.25526,0.12376,0.14864,0.11286,0.04501,0.06494,0.17078,0.15936,0.13122,0.18422,0.31543,0.48017,0.33275,0.33098,0.22939,0.32946,0.30764,0.31435
Surface of closed pores,mm^2,17.71158,21.32824,24.35043,19.11413,22.62335,26.46466,17.53835,15.13767,17.82395,22.07409,28.34662,23.41328,23.08297,25.98637,22.85773,35.32859,23.83705,27.52995,42.05174,38.00016,37.72982,42.70209,4.86063,37.80300,33.61247,24.47959,24.41629,24.22930,20.71222,20.97966,18.52967,18.29556,21.08155,9.26618,23.24033,15.37468,7.43509,10.35238,8.21901,3.86126,5.17352,11.85286,11.24725,9.59650,13.07868,23.08612,29.17969,22.66777,24.85740,12.27978,26.67513,26.53270,25.00909
Closed porosity (percent),%,0.04425,0.05799,0.07800,0.05210,0.06906,0.11742,0.05570,0.06008,0.05037,0.06017,0.07055,0.09071,0.08457,0.09012,0.07575,0.10709,0.08363,0.07894,0.11318,0.11753,0.10213,0.15467,0.01016,0.10148,0.10087,0.07841,0.08864,0.08809,0.08803,0.08030,0.06546,0.09903,0.06169,0.03531,0.07276,0.04510,0.01863,0.02607,0.01578,0.00658,0.01003,0.02381,0.02998,0.02224,0.03777,0.04747,0.09758,0.06911,0.04222,0.03797,0.03715,0.03306,0.03965
